0.000000	0.000000	0
0.098202	1.371566	1
0.327325	2.701358	0
0.586940	3.992700	0
0.847861	5.273101	0
1.096327	6.561296	0
1.343311	7.841807	0
1.592135	9.114038	0
1.839969	10.381205	0
2.087309	11.645848	0
2.333665	12.905458	0
2.580020	14.165067	0
2.826376	15.424677	0
3.069012	16.682405	0
3.307949	17.938243	0
3.543205	19.192185	0
3.774799	20.444224	0
4.002750	21.694354	0
4.227076	22.942567	0
4.428755	24.098427	0
1.000000	0.000000	0
1.088001	1.229100	1
1.307729	2.504357	1
1.566826	3.793127	1
1.829837	5.083781	1
2.078303	6.371976	1
2.324795	7.649937	1
2.573619	8.922168	1
2.821453	10.189335	1
3.068793	11.453978	1
3.315148	12.713587	1
3.561504	13.973197	1
3.808351	15.235321	1
4.051472	16.495559	1
4.290886	17.753904	1
4.526611	19.010349	1
4.758668	20.264887	1
4.987073	21.517512	1
5.212296	22.770713	1
5.413975	23.926573	0
