1	1.537797
2	1.504602
3	1.471214
4	1.437628
5	1.399881
6	1.364911
7	1.341320
8	1.333082
9	1.327302
10	1.329500
11	1.333923
12	1.340577
13	1.347033
14	1.357824
15	1.368561
16	1.377319
17	1.379953
18	1.382527
19	1.380988
20	1.377240
21	1.374514
22	1.375560
23	1.360995
24	1.385169
25	1.361864
26	1.379586
27	1.358251
28	1.384871
29	1.363443
30	1.377065
31	1.355407
32	1.375669
33	1.349458
34	1.376650
35	1.352490
36	1.372999
37	1.355897
38	1.378862
39	1.349910
40	1.377561
41	1.348433
42	1.376255
43	1.346865
44	1.379483
45	1.347674
46	1.375940
47	1.346214
48	1.374545
49	1.353358
50	1.381879
51	1.351824
52	1.382900
53	1.350254
54	1.383915
55	1.351084
56	1.382540
57	1.349509
58	1.383586
59	1.350369
60	1.379761
61	1.353589
62	1.390662
63	1.357082
64	1.389428
65	1.353126
66	1.388161
67	1.351638
68	1.389405
69	1.352676
70	1.388139
71	1.351188
72	1.389420
73	1.352260
74	1.385680
75	1.345747
76	1.384441
77	1.351908
78	1.390851
79	1.353039
80	1.392222
